Specification,Weight
Maximum temperature,0.089153242
Number of programs,0.083253793
Cord length,0.017089069
Product weight,0.068474023
Suitable for how many fries,0.253696448
Contents,0.262091124
Tested baking time fries,0.038135368
Factory warranty term,0.068096075
Introduction,0.120010858
